ID,Name,Position,ADP,Team,tier,tierNum
bijan robinson,Bijan Robinson,RB,1,Atlanta Falcons,S,1
jahmyr gibbs,Jahmyr Gibbs,RB,2,Detroit Lions,S,1
ja'marr chase,Ja'Marr Chase,WR,3,Cincinnati Bengals,S,1
puka nacua,Puka Nacua,WR,4,Los Angeles Rams,S,1
jaxon smith-njigba,Jaxon Smith-Njigba,WR,5,Seattle Seahawks,S,1
christian mccaffrey,Christian McCaffrey,RB,6,San Francisco 49ers,A+,2
jonathan taylor,Jonathan Taylor,RB,7,Indianapolis Colts,A+,2
amon-ra st brown,Amon-Ra St. Brown,WR,8,Detroit Lions,A+,2
justin jefferson,Justin Jefferson,WR,9,Minnesota Vikings,A+,2
ceedee lamb,CeeDee Lamb,WR,10,Dallas Cowboys,A+,2
james cook,James Cook III,RB,11,Buffalo Bills,A+,2
ashton jeanty,Ashton Jeanty,RB,12,Las Vegas Raiders,A+,2
de'von achane,De'Von Achane,RB,13,Miami Dolphins,A+,2
kenneth walker,Kenneth Walker III,RB,14,Kansas City Chiefs,A+,2
saquon barkley,Saquon Barkley,RB,15,Philadelphia Eagles,A+,2
trey mcbride,Trey McBride,TE,16,Arizona Cardinals,A,3
jeremiyah love,Jeremiyah Love,RB,17,,A,3
omarion hampton,Omarion Hampton,RB,18,Los Angeles Chargers,A,3
drake london,Drake London,WR,19,Atlanta Falcons,A,3
malik nabers,Malik Nabers,WR,20,New York Giants,A,3
rashee rice,Rashee Rice,WR,21,Kansas City Chiefs,A,3
chase brown,Chase Brown,RB,22,Cincinnati Bengals,A,3
derrick henry,Derrick Henry,RB,23,Baltimore Ravens,A,3
brock bowers,Brock Bowers,TE,24,Las Vegas Raiders,A,3
josh allen,Josh Allen,QB,25,Buffalo Bills,A,3
george pickens,George Pickens,WR,26,Dallas Cowboys,A,3
nico collins,Nico Collins,WR,27,Houston Texans,A,3
chris olave,Chris Olave,WR,28,New Orleans Saints,A-,4
josh jacobs,Josh Jacobs,RB,29,Green Bay Packers,A-,4
aj brown,A.J. Brown,WR,30,Philadelphia Eagles,A-,4
travis etienne,Travis Etienne Jr.,RB,31,New Orleans Saints,A-,4
kyren williams,Kyren Williams,RB,32,Los Angeles Rams,A-,4
tee higgins,Tee Higgins,WR,33,Cincinnati Bengals,A-,4
tetairoa mcmillan,Tetairoa McMillan,WR,34,Carolina Panthers,A-,4
emeka egbuka,Emeka Egbuka,WR,35,Tampa Bay Buccaneers,A-,4
garrett wilson,Garrett Wilson,WR,36,New York Jets,A-,4
breece hall,Breece Hall,RB,37,New York Jets,A-,4
devonta smith,DeVonta Smith,WR,38,Philadelphia Eagles,A-,4
javonte williams,Javonte Williams,RB,39,Dallas Cowboys,A-,4
colston loveland,Colston Loveland,TE,40,Chicago Bears,A-,4
zay flowers,Zay Flowers,WR,41,Baltimore Ravens,A-,4
