rank,firstName,lastName,position,team,consensus_pts,source_count,fantasypros_pts,clay_pts,spread_pct,avg_pass_yards,avg_pass_tds,avg_interceptions,avg_rush_yards,avg_rush_tds,avg_receptions,avg_rec_yards,avg_rec_tds,avg_fumbles_lost,fantasypros_date,clay_date
1,Josh,Allen,QB,BUF,377.2,2,374.6,379.7,1.4,3885.8,27.1,12.2,586.9,11.8,,,,2.0,2026-06-04,2026-06-04
2,Lamar,Jackson,QB,BAL,334.0,2,327.6,340.4,3.8,3753.7,27.8,10.2,653.4,3.6,,,,2.1,2026-06-04,2026-06-04
3,Drake,Maye,QB,NE,333.4,2,328.8,338.0,2.8,4059.1,27.5,11.1,536.6,4.0,,,,2.8,2026-06-04,2026-06-04
4,Jahmyr,Gibbs,RB,DET,330.7,2,338.0,323.5,4.4,,,,1332.5,14.3,69.2,565.9,3.6,0.6,2026-06-04,2026-06-04
5,Jalen,Hurts,QB,PHI,330.3,2,324.6,336.0,3.5,3677.3,24.4,8.3,450.9,8.8,,,,2.0,2026-06-04,2026-06-04
6,Jayden,Daniels,QB,WAS,329.5,2,329.9,329.2,0.2,3756.8,23.4,10.5,688.7,5.0,,,,1.4,2026-06-04,2026-06-04
7,Bijan,Robinson,RB,ATL,323.4,2,334.6,312.3,6.9,,,,1404.8,8.8,76.7,732.4,3.4,0.9,2026-06-04,2026-06-04
8,Jaxson,Dart,QB,NYG,317.0,2,315.2,318.9,1.2,3645.5,22.2,11.1,547.5,6.9,,,,1.4,2026-06-04,2026-06-04
9,Joe,Burrow,QB,CIN,315.4,2,314.0,316.7,0.9,4155.4,33.5,11.8,183.0,1.8,,,,0.9,2026-06-04,2026-06-04
10,Brock,Purdy,QB,SF,312.3,2,311.6,312.9,0.4,4165.7,27.5,14.4,295.1,4.2,,,,2.1,2026-06-04,2026-06-04
11,Trevor,Lawrence,QB,JAC,308.2,2,308.8,307.6,0.4,3895.9,26.2,13.5,332.6,5.2,,,,1.7,2026-06-04,2026-06-04
12,Dak,Prescott,QB,DAL,306.1,2,309.2,303.1,2.0,4193.1,30.6,12.0,183.0,2.0,,,,1.4,2026-06-04,2026-06-04
13,Patrick,Mahomes II,QB,KC,305.0,2,307.6,302.3,1.7,3911.9,26.8,11.9,353.9,3.3,,,,1.0,2026-06-04,2026-06-04
14,Matthew,Stafford,QB,LAR,303.8,2,296.4,311.2,4.9,4223.2,34.8,9.2,38.9,0.7,,,,1.4,2026-06-04,2026-06-04
15,Christian,McCaffrey,RB,SF,301.1,2,287.8,314.4,8.8,,,,1096.3,9.4,77.1,676.3,5.0,0.6,2026-06-04,2026-06-04
16,Justin,Herbert,QB,LAC,300.7,2,302.1,299.4,0.9,3828.1,26.4,11.5,440.2,2.0,,,,1.4,2026-06-04,2026-06-04
17,Bo,Nix,QB,DEN,300.7,2,294.0,307.3,4.4,3781.8,26.4,10.8,343.1,3.8,,,,1.0,2026-06-04,2026-06-04
18,Puka,Nacua,WR,LAR,299.7,2,302.3,297.1,1.7,,,,106.7,1.3,124.5,1617.8,9.7,0.5,2026-06-04,2026-06-04
19,Caleb,Williams,QB,CHI,294.6,2,296.2,293.0,1.1,3811.7,26.1,10.0,386.7,2.0,,,,1.5,2026-06-04,2026-06-04
20,Jonathan,Taylor,RB,IND,293.1,2,299.2,287.1,4.1,,,,1528.5,12.7,47.4,346.1,1.3,0.8,2026-06-04,2026-06-04
21,Daniel,Jones,QB,IND,287.8,2,290.2,285.4,1.7,3799.2,22.6,11.3,273.4,5.5,,,,1.9,2026-06-04,2026-06-04
22,Baker,Mayfield,QB,TB,285.0,2,290.7,279.3,4.0,3855.2,26.1,12.4,341.6,1.4,,,,1.9,2026-06-04,2026-06-04
23,Jared,Goff,QB,DET,284.5,2,283.9,285.2,0.5,4214.0,30.2,10.0,47.9,0.7,,,,1.9,2026-06-04,2026-06-04
24,Jaxon,Smith-Njigba,WR,SEA,282.4,2,293.0,271.8,7.5,,,,27.8,0.1,118.2,1619.5,9.9,0.6,2026-06-04,2026-06-04
25,Tyler,Shough,QB,NO,279.1,2,281.4,276.9,1.6,3914.2,21.1,11.8,294.8,4.0,,,,1.8,2026-06-04,2026-06-04
26,Ja'Marr,Chase,WR,CIN,277.7,2,277.1,278.3,0.4,,,,20.5,0.1,121.3,1517.7,10.7,0.5,2026-06-04,2026-06-04
27,Jordan,Love,QB,GB,272.0,2,268.0,276.0,2.9,3914.3,26.0,10.7,206.4,0.8,,,,1.5,2026-06-04,2026-06-04
28,Derrick,Henry,RB,BAL,267.6,2,271.7,263.5,3.1,,,,1522.8,13.5,19.9,198.1,1.1,0.8,2026-06-04,2026-06-04
29,De'Von,Achane,RB,MIA,267.6,2,271.5,263.8,2.9,,,,1268.3,5.5,68.2,522.0,3.7,0.5,2026-06-04,2026-06-04
30,Kyler,Murray,QB,MIN,267.5,2,272.9,262.1,4.0,3359.3,21.1,12.8,454.9,3.3,,,,1.9,2026-06-04,2026-06-04
31,Malik,Willis,QB,MIA,265.3,2,273.9,256.7,6.5,3462.4,16.2,12.4,588.1,3.6,,,,3.1,2026-06-04,2026-06-04
32,Sam,Darnold,QB,SEA,265.1,2,267.2,263.0,1.6,4038.4,26.0,12.3,129.8,0.7,,,,2.6,2026-06-04,2026-06-04
33,C.J.,Stroud,QB,HOU,264.6,2,268.4,260.7,2.9,3944.0,22.9,12.0,249.0,1.0,,,,1.8,2026-06-04,2026-06-04
34,Amon-Ra,St. Brown,WR,DET,263.2,2,263.1,263.3,0.1,,,,11.8,0.1,117.2,1413.7,10.3,0.2,2026-06-04,2026-06-04
35,James,Cook III,RB,BUF,259.7,2,253.2,266.2,5.0,,,,1408.8,10.5,35.0,293.5,1.9,1.2,2026-06-04,2026-06-04
36,Josh,Jacobs,RB,GB,253.1,2,246.4,259.8,5.3,,,,1200.6,13.0,36.0,284.3,1.6,0.7,2026-06-04,2026-06-04
37,Ashton,Jeanty,RB,LV,250.5,2,251.4,249.6,0.7,,,,1114.9,7.8,62.5,455.8,2.8,0.6,2026-06-04,2026-06-04
38,Saquon,Barkley,RB,PHI,250.0,2,247.1,253.0,2.4,,,,1316.3,8.4,42.3,355.6,2.0,0.5,2026-06-04,2026-06-04
39,Bryce,Young,QB,CAR,247.3,2,242.1,252.6,4.2,3502.6,20.6,13.1,270.9,2.3,,,,1.5,2026-06-04,2026-06-04
40,Chase,Brown,RB,CIN,246.1,2,252.3,239.9,5.0,,,,1035.3,7.6,66.0,443.3,3.5,0.6,2026-06-04,2026-06-04
41,Omarion,Hampton,RB,LAC,245.5,2,236.4,254.6,7.4,,,,1098.7,10.2,53.8,369.4,1.9,0.6,2026-06-04,2026-06-04
42,Breece,Hall,RB,NYJ,243.6,2,235.6,251.6,6.6,,,,1158.4,7.7,49.7,425.4,2.7,0.8,2026-06-04,2026-06-04
43,Geno,Smith,QB,NYJ,240.3,2,233.9,246.6,5.3,3597.3,21.1,14.6,227.9,1.0,,,,1.1,2026-06-04,2026-06-04
44,CeeDee,Lamb,WR,DAL,239.3,2,233.1,245.5,5.2,,,,15.9,0.1,103.5,1370.2,8.2,0.1,2026-06-04,2026-06-04
45,Jeremiyah,Love,RB,ARI,238.4,2,228.4,248.3,8.3,,,,1102.5,7.2,59.2,454.9,2.0,1.1,2026-06-04,2026-06-04
