overall_pick,round,team,player,position,nfl_team,adp,sigma,pick_prob,top1,top2,top3
1,1,1,Puka Nacua,WR,Los Angeles Rams,4.0,1.90,0.1026,"Bijan Robinson (0.3463, ADP 1.4)","Jahmyr Gibbs (0.3185, ADP 1.8)","Ja'Marr Chase (0.1620, ADP 3.3)"
2,1,2,Bijan Robinson,RB,Atlanta Falcons,1.4,1.64,0.2890,"Jahmyr Gibbs (0.3068, ADP 1.8)","Bijan Robinson (0.2890, ADP 1.4)","Ja'Marr Chase (0.2401, ADP 3.3)"
3,1,3,Jahmyr Gibbs,RB,Detroit Lions,1.8,1.68,0.2654,"Ja'Marr Chase (0.3380, ADP 3.3)","Jahmyr Gibbs (0.2654, ADP 1.8)","Jaxon Smith-Njigba (0.1985, ADP 5.1)"
4,1,4,Ja'Marr Chase,WR,Cincinnati Bengals,3.3,1.83,0.3077,"Ja'Marr Chase (0.3077, ADP 3.3)","Jaxon Smith-Njigba (0.2850, ADP 5.1)","Jonathan Taylor (0.1848, ADP 6.3)"
5,1,5,Jaxon Smith-Njigba,WR,Seattle Seahawks,5.1,2.01,0.3115,"Jaxon Smith-Njigba (0.3115, ADP 5.1)","Jonathan Taylor (0.2589, ADP 6.3)","Christian McCaffrey (0.1682, ADP 7.5)"
6,1,6,CeeDee Lamb,WR,Dallas Cowboys,8.6,2.36,0.1605,"Jonathan Taylor (0.2916, ADP 6.3)","Christian McCaffrey (0.2358, ADP 7.5)","CeeDee Lamb (0.1605, ADP 8.6)"
7,1,7,Amon-Ra St. Brown,WR,Detroit Lions,8.9,2.39,0.1932,"Christian McCaffrey (0.2586, ADP 7.5)","Jonathan Taylor (0.2511, ADP 6.3)","Amon-Ra St. Brown (0.1932, ADP 8.9)"
8,1,8,James Cook,RB,Buffalo Bills,11.0,2.60,0.1426,"Christian McCaffrey (0.2706, ADP 7.5)","Jonathan Taylor (0.2017, ADP 6.3)","Justin Jefferson (0.2014, ADP 10.0)"
9,1,9,Ashton Jeanty,RB,Las Vegas Raiders,11.9,2.69,0.1661,"Justin Jefferson (0.2741, ADP 10.0)","Christian McCaffrey (0.2378, ADP 7.5)","Ashton Jeanty (0.1661, ADP 11.9)"
10,1,10,Justin Jefferson,WR,Minnesota Vikings,10.0,2.50,0.3407,"Justin Jefferson (0.3407, ADP 10.0)","Christian McCaffrey (0.1838, ADP 7.5)","De'Von Achane (0.1543, ADP 13.6)"
11,1,11,Saquon Barkley,RB,Philadelphia Eagles,16.1,3.11,0.1108,"De'Von Achane (0.2811, ADP 13.6)","Omarion Hampton (0.1552, ADP 15.3)","Jeremiyah Love (0.1373, ADP 15.6)"
12,1,12,De'Von Achane,RB,Miami Dolphins,13.6,2.86,0.3105,"De'Von Achane (0.3105, ADP 13.6)","Omarion Hampton (0.2007, ADP 15.3)","Jeremiyah Love (0.1818, ADP 15.6)"
13,2,12,Omarion Hampton,RB,Los Angeles Chargers,15.3,3.03,0.2771,"Omarion Hampton (0.2771, ADP 15.3)","Jeremiyah Love (0.2576, ADP 15.6)","Malik Nabers (0.1219, ADP 17.9)"
14,2,11,Jeremiyah Love,RB,,15.6,3.06,0.3069,"Jeremiyah Love (0.3069, ADP 15.6)","Malik Nabers (0.1743, ADP 17.9)","Kenneth Walker III (0.1330, ADP 18.7)"
15,2,10,Drake London,WR,Atlanta Falcons,19.6,3.46,0.1405,"Malik Nabers (0.2305, ADP 17.9)","Kenneth Walker III (0.1861, ADP 18.7)","Trey McBride (0.1807, ADP 18.8)"
16,2,9,Trey McBride,TE,Arizona Cardinals,18.8,3.38,0.2015,"Malik Nabers (0.2403, ADP 17.9)","Kenneth Walker III (0.2060, ADP 18.7)","Trey McBride (0.2015, ADP 18.8)"
17,2,8,Malik Nabers,WR,New York Giants,17.9,3.29,0.2586,"Malik Nabers (0.2586, ADP 17.9)","Kenneth Walker III (0.2364, ADP 18.7)","Derrick Henry (0.1693, ADP 20.4)"
18,2,7,Chase Brown,RB,Cincinnati Bengals,21.9,3.69,0.1561,"Kenneth Walker III (0.2671, ADP 18.7)","Derrick Henry (0.2169, ADP 20.4)","Chase Brown (0.1561, ADP 21.9)"
19,2,6,Kenneth Walker III,RB,Kansas City Chiefs,18.7,3.37,0.2562,"Kenneth Walker III (0.2562, ADP 18.7)","Derrick Henry (0.2379, ADP 20.4)","Brock Bowers (0.1370, ADP 23.3)"
20,2,5,Nico Collins,WR,Houston Texans,24.3,3.93,0.1457,"Derrick Henry (0.2634, ADP 20.4)","Brock Bowers (0.1829, ADP 23.3)","George Pickens (0.1604, ADP 23.9)"
21,2,4,Brock Bowers,TE,Las Vegas Raiders,23.3,3.83,0.2080,"Derrick Henry (0.2455, ADP 20.4)","Brock Bowers (0.2080, ADP 23.3)","George Pickens (0.1886, ADP 23.9)"
22,2,3,George Pickens,WR,Dallas Cowboys,23.9,3.89,0.2277,"Derrick Henry (0.2317, ADP 20.4)","George Pickens (0.2277, ADP 23.9)","Chris Olave (0.1232, ADP 27.1)"
23,2,2,Chris Olave,WR,New Orleans Saints,27.1,4.21,0.1675,"Derrick Henry (0.2055, ADP 20.4)","Chris Olave (0.1675, ADP 27.1)","Josh Jacobs (0.1640, ADP 27.2)"
24,2,1,Travis Etienne Jr.,RB,New Orleans Saints,30.2,4.52,0.1029,"Josh Jacobs (0.1978, ADP 27.2)","Derrick Henry (0.1572, ADP 20.4)","Josh Allen (0.1351, ADP 29.1)"
25,3,1,Josh Allen,QB,Buffalo Bills,29.1,4.41,0.1575,"Josh Jacobs (0.2118, ADP 27.2)","Josh Allen (0.1575, ADP 29.1)","A.J. Brown (0.1514, ADP 29.3)"
26,3,2,Josh Jacobs,RB,Green Bay Packers,27.2,4.22,0.2293,"Josh Jacobs (0.2293, ADP 27.2)","A.J. Brown (0.1809, ADP 29.3)","Tetairoa McMillan (0.1160, ADP 31.6)"
27,3,3,A.J. Brown,WR,Philadelphia Eagles,29.3,4.43,0.2174,"A.J. Brown (0.2174, ADP 29.3)","Tetairoa McMillan (0.1528, ADP 31.6)","Breece Hall (0.1384, ADP 32.1)"
28,3,4,DeVonta Smith,WR,Philadelphia Eagles,41.3,5.63,0.0154,"Tetairoa McMillan (0.1855, ADP 31.6)","Breece Hall (0.1712, ADP 32.1)","Tee Higgins (0.1425, ADP 33.1)"
29,3,5,Emeka Egbuka,WR,Tampa Bay Buccaneers,39.1,5.41,0.0357,"Tetairoa McMillan (0.1744, ADP 31.6)","Breece Hall (0.1641, ADP 32.1)","Tee Higgins (0.1417, ADP 33.1)"
30,3,6,Garrett Wilson,WR,New York Jets,36.5,5.15,0.0787,"Tetairoa McMillan (0.1646, ADP 31.6)","Breece Hall (0.1581, ADP 32.1)","Tee Higgins (0.1419, ADP 33.1)"
31,3,7,Breece Hall,RB,New York Jets,32.1,4.71,0.1576,"Tetairoa McMillan (0.1606, ADP 31.6)","Breece Hall (0.1576, ADP 32.1)","Tee Higgins (0.1472, ADP 33.1)"
32,3,8,Jaylen Waddle,WR,Denver Broncos,47.2,6.22,0.0084,"Tetairoa McMillan (0.1651, ADP 31.6)","Tee Higgins (0.1614, ADP 33.1)","Kyren Williams (0.1499, ADP 34.2)"
33,3,9,Javonte Williams,RB,Dallas Cowboys,40.1,5.51,0.0645,"Tee Higgins (0.1478, ADP 33.1)","Kyren Williams (0.1435, ADP 34.2)","Tetairoa McMillan (0.1413, ADP 31.6)"
34,3,10,Ladd McConkey,WR,Los Angeles Chargers,38.6,5.36,0.0998,"Kyren Williams (0.1440, ADP 34.2)","Rashee Rice (0.1418, ADP 34.9)","Tee Higgins (0.1417, ADP 33.1)"
35,3,11,Rashee Rice,WR,Kansas City Chiefs,34.9,4.99,0.1500,"Rashee Rice (0.1500, ADP 34.9)","Kyren Williams (0.1480, ADP 34.2)","Tee Higgins (0.1387, ADP 33.1)"
36,3,12,Kyren Williams,RB,Los Angeles Rams,34.2,4.92,0.1545,"Bucky Irving (0.1609, ADP 37.2)","Kyren Williams (0.1545, ADP 34.2)","Tee Higgins (0.1378, ADP 33.1)"
