board,team,round,player,position,adp,nfl_team
1,T1,1,Bijan Robinson,RB,1.4,Atlanta Falcons
1,T1,2,George Pickens,WR,23.9,Dallas Cowboys
1,T1,3,Josh Allen,QB,29.1,Buffalo Bills
1,T1,4,Rome Odunze,WR,52.9,Chicago Bears
1,T1,5,Cam Skattebo,RB,56.3,New York Giants
1,T1,6,Jaylen Warren,RB,78.0,Pittsburgh Steelers
1,T2,1,Jahmyr Gibbs,RB,1.8,Detroit Lions
1,T2,2,Chris Olave,WR,27.1,New Orleans Saints
1,T2,3,Travis Etienne Jr.,RB,30.2,New Orleans Saints
1,T2,4,Colston Loveland,TE,46.2,Chicago Bears
1,T2,5,Marvin Harrison,WR,64.8,Arizona Cardinals
1,T2,6,Trevor Lawrence,QB,83.3,Jacksonville Jaguars
1,T3,1,Ja'Marr Chase,WR,3.3,Cincinnati Bengals
1,T3,2,Brock Bowers,TE,23.3,Las Vegas Raiders
1,T3,3,Tetairoa McMillan,WR,31.6,Carolina Panthers
1,T3,4,Mike Evans,WR,49.5,San Francisco 49ers
1,T3,5,D.J. Moore,WR,54.0,Buffalo Bills
1,T3,6,Parker Washington,WR,72.9,Jacksonville Jaguars
1,T4,1,Puka Nacua,WR,4.0,Los Angeles Rams
1,T4,2,Chase Brown,RB,21.9,Cincinnati Bengals
1,T4,3,Bucky Irving,RB,37.2,Tampa Bay Buccaneers
1,T4,4,Lamar Jackson,QB,51.2,Baltimore Ravens
1,T4,5,D'Andre Swift,RB,60.8,Chicago Bears
1,T4,6,Blake Corum,RB,99.9,Los Angeles Rams
1,T5,1,Jaxon Smith-Njigba,WR,5.1,Seattle Seahawks
1,T5,2,Josh Jacobs,RB,27.2,Green Bay Packers
1,T5,3,Tee Higgins,WR,33.1,Cincinnati Bengals
1,T5,4,Terry McLaurin,WR,47.2,Washington Commanders
1,T5,5,Bhayshul Tuten,RB,56.2,Jacksonville Jaguars
1,T5,6,Makai Lemon,WR,63.5,
1,T6,1,Jonathan Taylor,RB,6.3,Indianapolis Colts
1,T6,2,Drake London,WR,19.6,Atlanta Falcons
1,T6,3,Breece Hall,RB,32.1,New York Jets
1,T6,4,Jaylen Waddle,WR,47.2,Denver Broncos
1,T6,5,Christian Watson,WR,58.8,Green Bay Packers
1,T6,6,Courtland Sutton,WR,74.8,Denver Broncos
1,T7,1,Christian McCaffrey,RB,7.5,San Francisco 49ers
1,T7,2,Derrick Henry,RB,20.4,Baltimore Ravens
1,T7,3,Rashee Rice,WR,34.9,Kansas City Chiefs
1,T7,4,Quinshon Judkins,RB,54.0,Cleveland Browns
1,T7,5,David Montgomery,RB,57.1,Houston Texans
1,T7,6,RJ Harvey,RB,66.4,Denver Broncos
1,T8,1,Amon-Ra St. Brown,WR,8.9,Detroit Lions
1,T8,2,Nico Collins,WR,24.3,Houston Texans
1,T8,3,Kyren Williams,RB,34.2,Los Angeles Rams
1,T8,4,Jameson Williams,WR,45.2,Detroit Lions
1,T8,5,Carnell Tate,WR,56.6,
1,T8,6,Caleb Williams,QB,68.8,Chicago Bears
1,T9,1,Justin Jefferson,WR,10.0,Minnesota Vikings
1,T9,2,Kenneth Walker III,RB,18.7,Kansas City Chiefs
1,T9,3,A.J. Brown,WR,29.3,Philadelphia Eagles
1,T9,4,Zay Flowers,WR,40.8,Baltimore Ravens
1,T9,5,Jayden Daniels,QB,62.8,Washington Commanders
1,T9,6,Drake Maye,QB,72.0,New England Patriots
1,T10,1,James Cook,RB,11.0,Buffalo Bills
1,T10,2,Saquon Barkley,RB,16.1,Philadelphia Eagles
1,T10,3,Garrett Wilson,WR,36.5,New York Jets
1,T10,4,Davante Adams,WR,49.1,Los Angeles Rams
1,T10,5,Joe Burrow,QB,64.8,Cincinnati Bengals
1,T10,6,Chuba Hubbard,RB,73.8,Carolina Panthers
1,T11,1,Ashton Jeanty,RB,11.9,Las Vegas Raiders
1,T11,2,Jeremiyah Love,RB,15.6,
1,T11,3,Emeka Egbuka,WR,39.1,Tampa Bay Buccaneers
1,T11,4,DeVonta Smith,WR,41.3,Philadelphia Eagles
1,T11,5,Jordyn Tyson,WR,70.7,
1,T11,6,Jaxson Dart,QB,86.6,New York Giants
1,T12,1,De'Von Achane,RB,13.6,Miami Dolphins
1,T12,2,Omarion Hampton,RB,15.3,Los Angeles Chargers
1,T12,3,Ladd McConkey,WR,38.6,Los Angeles Chargers
1,T12,4,Javonte Williams,RB,40.1,Dallas Cowboys
1,T12,5,Alec Pierce,WR,68.9,Indianapolis Colts
1,T12,6,Jalen Hurts,QB,69.7,Philadelphia Eagles
2,T1,1,Jahmyr Gibbs,RB,1.8,Detroit Lions
2,T1,2,Josh Allen,QB,29.1,Buffalo Bills
2,T1,3,A.J. Brown,WR,29.3,Philadelphia Eagles
2,T1,4,TreVeyon Henderson,RB,48.3,New England Patriots
2,T1,5,David Montgomery,RB,57.1,Houston Texans
2,T1,6,Dak Prescott,QB,80.8,Dallas Cowboys
2,T2,1,Bijan Robinson,RB,1.4,Atlanta Falcons
2,T2,2,Chris Olave,WR,27.1,New Orleans Saints
2,T2,3,Tetairoa McMillan,WR,31.6,Carolina Panthers
2,T2,4,Davante Adams,WR,49.1,Los Angeles Rams
2,T2,5,Lamar Jackson,QB,51.2,Baltimore Ravens
2,T2,6,Jordyn Tyson,WR,70.7,
2,T3,1,Ja'Marr Chase,WR,3.3,Cincinnati Bengals
2,T3,2,Brock Bowers,TE,23.3,Las Vegas Raiders
2,T3,3,Josh Jacobs,RB,27.2,Green Bay Packers
2,T3,4,D.J. Moore,WR,54.0,Buffalo Bills
2,T3,5,Bhayshul Tuten,RB,56.2,Jacksonville Jaguars
2,T3,6,Rhamondre Stevenson,RB,78.8,New England Patriots
2,T4,1,Puka Nacua,WR,4.0,Los Angeles Rams
2,T4,2,George Pickens,WR,23.9,Dallas Cowboys
2,T4,3,Nico Collins,WR,24.3,Houston Texans
2,T4,4,Zay Flowers,WR,40.8,Baltimore Ravens
2,T4,5,Cam Skattebo,RB,56.3,New York Giants
2,T4,6,D'Andre Swift,RB,60.8,Chicago Bears
2,T5,1,Jaxon Smith-Njigba,WR,5.1,Seattle Seahawks
2,T5,2,Derrick Henry,RB,20.4,Baltimore Ravens
2,T5,3,Travis Etienne Jr.,RB,30.2,New Orleans Saints
2,T5,4,Terry McLaurin,WR,47.2,Washington Commanders
2,T5,5,Joe Burrow,QB,64.8,Cincinnati Bengals
2,T5,6,Jalen Hurts,QB,69.7,Philadelphia Eagles
2,T6,1,Jonathan Taylor,RB,6.3,Indianapolis Colts
2,T6,2,Chase Brown,RB,21.9,Cincinnati Bengals
2,T6,3,Rashee Rice,WR,34.9,Kansas City Chiefs
2,T6,4,Mike Evans,WR,49.5,San Francisco 49ers
2,T6,5,Makai Lemon,WR,63.5,
2,T6,6,DK Metcalf,WR,77.3,Pittsburgh Steelers
2,T7,1,Christian McCaffrey,RB,7.5,San Francisco 49ers
2,T7,2,Kenneth Walker III,RB,18.7,Kansas City Chiefs
2,T7,3,Bucky Irving,RB,37.2,Tampa Bay Buccaneers
2,T7,4,Rome Odunze,WR,52.9,Chicago Bears
2,T7,5,Marvin Harrison,WR,64.8,Arizona Cardinals
2,T7,6,Chuba Hubbard,RB,73.8,Carolina Panthers
2,T8,1,Amon-Ra St. Brown,WR,8.9,Detroit Lions
2,T8,2,Trey McBride,TE,18.8,Arizona Cardinals
2,T8,3,Luther Burden,WR,42.2,Chicago Bears
2,T8,4,Colston Loveland,TE,46.2,Chicago Bears
2,T8,5,Caleb Williams,QB,68.8,Chicago Bears
2,T8,6,Courtland Sutton,WR,74.8,Denver Broncos
2,T9,1,CeeDee Lamb,WR,8.6,Dallas Cowboys
2,T9,2,Malik Nabers,WR,17.9,New York Giants
2,T9,3,Tee Higgins,WR,33.1,Cincinnati Bengals
2,T9,4,Jaylen Waddle,WR,47.2,Denver Broncos
2,T9,5,Brian Thomas,WR,61.7,Jacksonville Jaguars
2,T9,6,Jaylen Warren,RB,78.0,Pittsburgh Steelers
2,T10,1,Justin Jefferson,WR,10.0,Minnesota Vikings
2,T10,2,Jeremiyah Love,RB,15.6,
2,T10,3,Kyren Williams,RB,34.2,Los Angeles Rams
2,T10,4,Javonte Williams,RB,40.1,Dallas Cowboys
2,T10,5,RJ Harvey,RB,66.4,Denver Broncos
2,T10,6,Parker Washington,WR,72.9,Jacksonville Jaguars
2,T11,1,James Cook,RB,11.0,Buffalo Bills
2,T11,2,Saquon Barkley,RB,16.1,Philadelphia Eagles
2,T11,3,Ladd McConkey,WR,38.6,Los Angeles Chargers
2,T11,4,DeVonta Smith,WR,41.3,Philadelphia Eagles
2,T11,5,Carnell Tate,WR,56.6,
2,T11,6,Alec Pierce,WR,68.9,Indianapolis Colts
2,T12,1,De'Von Achane,RB,13.6,Miami Dolphins
2,T12,2,Omarion Hampton,RB,15.3,Los Angeles Chargers
2,T12,3,Garrett Wilson,WR,36.5,New York Jets
2,T12,4,Emeka Egbuka,WR,39.1,Tampa Bay Buccaneers
2,T12,5,Christian Watson,WR,58.8,Green Bay Packers
2,T12,6,Drake Maye,QB,72.0,New England Patriots
3,T1,1,Bijan Robinson,RB,1.4,Atlanta Falcons
3,T1,2,Chris Olave,WR,27.1,New Orleans Saints
3,T1,3,Travis Etienne Jr.,RB,30.2,New Orleans Saints
3,T1,4,Quinshon Judkins,RB,54.0,Cleveland Browns
3,T1,5,Jayden Daniels,QB,62.8,Washington Commanders
3,T1,6,Harold Fannin,TE,80.1,Cleveland Browns
3,T2,1,Jahmyr Gibbs,RB,1.8,Detroit Lions
