Rank,Player Name,Position,Team,ADP
13,Bijan Robinson,RB,ATL,1.1
14,Puka Nacua,WR,LAR,1.2
15,Jahmyr Gibbs,RB,DET,1.3
16,Ja'Marr Chase,WR,CIN,1.4
17,Jaxon Smith-Njigba,WR,SEA,1.5
18,Jonathan Taylor,RB,IND,1.6
19,CeeDee Lamb,WR,DAL,1.7
20,Christian McCaffrey,RB,SF,1.8
21,Amon-Ra St. Brown,WR,DET,1.9
22,James Cook,RB,BUF,1.10
23,De'Von Achane,RB,MIA,1.11
24,Ashton Jeanty,RB,LVR,1.12
25,Trey McBride,TE,ARI,2.1
26,Malik Nabers,WR,NYG,2.2
27,Drake London,WR,ATL,2.3
28,Justin Jefferson,WR,MIN,2.4
29,Omarion Hampton,RB,LAC,2.5
30,Saquon Barkley,RB,PHI,2.6
31,Jeremiyah Love,RB,RK,2.7
32,Brock Bowers,TE,LVR,2.8
33,George Pickens,WR,UNS,2.9
34,Derrick Henry,RB,BAL,2.10
35,Nico Collins,WR,HOU,2.11
36,Chase Brown,RB,CIN,2.12
37,Rashee Rice,WR,KC,3.1
38,Chris Olave,WR,NO,3.2
39,Josh Allen,QB,BUF,3.3
40,Josh Jacobs,RB,GB,3.4
41,Bucky Irving,RB,TB,3.5
42,Kenneth Walker III,RB,SEA,3.6
43,Tee Higgins,WR,CIN,3.7
44,Breece Hall,RB,UNS,3.8
45,Tetairoa McMillan,WR,CAR,3.9
46,A.J. Brown,WR,PHI,3.10
47,Kyren Williams,RB,LAR,3.11
48,Travis Etienne,RB,UNS,3.12
49,Ladd McConkey,WR,LAC,4.1
50,Garrett Wilson,WR,NYJ,4.2
51,Jameson Williams,WR,DET,4.3
52,Colston Loveland,TE,CHI,4.4
53,Davante Adams,WR,LAR,4.5
54,Cameron Skattebo,RB,NYG,4.6
55,Zay Flowers,WR,BAL,4.7
56,DeVonta Smith,WR,PHI,4.8
57,TreVeyon Henderson,RB,NE,4.9
58,Luther Burden III,WR,CHI,4.10
59,RJ Harvey,RB,DEN,4.11
60,Lamar Jackson,QB,BAL,4.12
61,Emeka Egbuka,WR,TB,5.1
62,Quinshon Judkins,RB,CLE,5.2
63,Terry McLaurin,WR,WAS,5.3
64,Drake Maye,QB,NE,5.4
65,Jordyn Tyson,WR,RK,5.5
66,Christian Watson,WR,GB,5.6
67,Jaylen Waddle,WR,MIA,5.7
68,Carnell Tate,WR,RK,5.8
69,D'Andre Swift,RB,CHI,5.9
70,Javonte Williams,RB,UNS,5.10
71,Rome Odunze,WR,CHI,5.11
72,Makai Lemon,WR,RK,5.12
73,Courtland Sutton,WR,DEN,6.1
74,Caleb Williams,QB,CHI,6.2
75,D.K. Metcalf,WR,PIT,6.3
76,Jayden Daniels,QB,WAS,6.4
77,Tyler Warren,TE,IND,6.5
78,Joe Burrow,QB,CIN,6.6
79,Brian Thomas Jr.,WR,JAC,6.7
80,Rhamondre Stevenson,RB,NE,6.8
81,Marvin Harrison Jr.,WR,ARI,6.9
82,Mike Evans,WR,TB,6.10
83,Michael Wilson,WR,ARI,6.11
84,Jalen Hurts,QB,PHI,6.12
85,Jaylen Warren,RB,PIT,7.1
86,Parker Washington,WR,JAC,7.2
87,Harold Fannin Jr.,TE,CLE,7.3
88,Justin Herbert,QB,LAC,7.4
89,Bhayshul Tuten,RB,JAC,7.5
90,Jaxson Dart,QB,NYG,7.6
91,Alec Pierce,WR,UNS,7.7
92,Stefon Diggs,WR,NE,7.8
93,Trevor Lawrence,QB,JAC,7.9
94,Ricky Pearsall,WR,SF,7.10
95,Kyle Pitts,TE,UNS,7.11
96,Tucker Kraft,TE,GB,7.12
97,Quentin Johnston,WR,LAC,8.1
98,Kyle Monangai,RB,CHI,8.2
99,Jakobi Meyers,WR,JAC,8.3
100,Dak Prescott,QB,DAL,8.4
101,Patrick Mahomes,QB,KC,8.5
102,Tony Pollard,RB,TEN,8.6
103,Blake Corum,RB,LAR,8.7
104,Michael Pittman Jr.,WR,IND,8.8
105,Sam LaPorta,TE,DET,8.9
106,Chuba Hubbard,RB,CAR,8.10
107,D.J. Moore,WR,CHI,8.11
108,Denzel Boston,WR,RK,8.12
109,Xavier Worthy,WR,KC,9.1
110,Matthew Stafford,QB,LAR,9.2
111,Jadarian Price,RB,RK,9.3
112,Rico Dowdle,RB,UNS,9.4
113,Jordan Addison,WR,MIN,9.5
114,Brock Purdy,QB,SF,9.6
115,Dalton Kincaid,TE,BUF,9.7
116,Oronde Gadsden II,TE,LAC,9.8
117,Bo Nix,QB,DEN,9.9
118,Khalil Shakir,WR,BUF,9.10
119,Tyler Allgeier,RB,UNS,9.11
120,Wan'Dale Robinson,WR,UNS,9.12
121,Jared Goff,QB,DET,10.1
122,Jordan Love,QB,GB,10.2
123,Jayden Reed,WR,GB,10.3
124,Jalen Coker,WR,CAR,10.4
125,David Montgomery,RB,DET,10.5
126,Jauan Jennings,WR,UNS,10.6
127,Jonah Coleman,RB,RK,10.7
128,Woody Marks,RB,HOU,10.8
129,Baker Mayfield,QB,TB,10.9
130,Chris Godwin,WR,TB,10.10
131,Jacory Croskey-Merritt,RB,WAS,10.11
132,Brenton Strange,TE,JAC,10.12
133,Matthew Golden,WR,GB,11.1
134,Dallas Goedert,TE,UNS,11.2
135,Kayshon Boutte,WR,NE,11.3
136,Jayden Higgins,WR,HOU,11.4
137,Tyler Shough,QB,NO,11.5
138,George Kittle,TE,SF,11.6
139,Deebo Samuel,WR,UNS,11.7
140,Sam Darnold,QB,SEA,11.8
141,Jake Ferguson,TE,DAL,11.9
142,Kenneth Gainwell,RB,UNS,11.10
143,KC Concepcion,WR,RK,11.11
144,Emmett Johnson,RB,RK,11.12
145,Romeo Doubs,WR,UNS,12.1
146,Tyrone Tracy Jr.,RB,NYG,12.2
147,Kenyon Sadiq,TE,RK,12.3
148,Fernando Mendoza,QB,RK,12.4
149,Travis Hunter,WR,JAC,12.5
150,J.K. Dobbins,RB,DEN,12.6
151,Brandon Aiyuk,WR,SF,12.7
152,Rashid Shaheed,WR,SEA,12.8
153,Hunter Henry,TE,NE,12.9
154,Bryce Young,QB,CAR,12.10
155,C.J. Stroud,QB,HOU,12.11
156,Tyreek Hill,WR,MIA,12.12
157,Elijah Sarratt,WR,RK,13.1
158,Pat Bryant,WR,DEN,13.2
159,James Conner,RB,ARI,13.3
160,Kaytron Allen,RB,RK,13.4
161,Josh Downs,WR,IND,13.5
162,Cameron Ward,QB,TEN,13.6
163,Mark Andrews,TE,BAL,13.7
164,Zach Charbonnet,RB,SEA,13.8
